Category,Value,Unit,Description,Formula,
Home Price,800000,USD,Purchase price of the home,,
Down Payment %,20,%,Percentage of home price for down payment,,
Loan Term,30,Years,Mortgage term in years,,
Interest Rate,6,%,Annual mortgage interest rate,,
Property Tax %,1,%,Annual property tax as % of home price,,
Insurance Annual,2000,USD,Annual homeowners insurance,,
PMI %,0.5,%,Private mortgage insurance if down payment <20%,,
HOA Monthly,0,USD,Monthly HOA fees,,
Maintenance %,1.5,%,Annual maintenance as % of home price,,
Utilities Monthly,500,USD,Monthly utilities cost,,
Down Payment,160000,USD,Down payment amount,,
Loan Amount,799500,USD,Mortgage principal (Home price - down payment),,
Monthly Interest Rate,0.005,,Monthly interest rate,,
Number of Payments,360,,Total number of monthly payments,,
Monthly P+I,959.2808402,USD,Monthly principal + interest,,
Monthly Property Tax,666.6666667,USD,Monthly property tax,,
Monthly Insurance,166.6666667,USD,Monthly insurance,,
Monthly PMI,=IF(B3<20,B12*B8/100/12,0),USD,Monthly PMI if down payment <20%
Monthly Maintenance,1000,USD,Monthly maintenance,,
Total Monthly Cost,0,USD,Sum of all monthly costs,,
Estimated Upfront Cost,24500,USD,Down payment + estimated 3% closing costs,,
